nconst	primaryName
nm0000328	Richard Chamberlain
nm0000329	Jackie Chan
nm0000330	Stockard Channing
nm0000331	Chevy Chase
nm0000332	Don Cheadle
nm0000333	Cher
nm0000334	Chow Yun-Fat
nm0000335	Glenn Close
nm0000336	James Coburn
nm0000337	Rachael Leigh Cook
nm0000338	Francis Ford Coppola
nm0000339	Roger Corman
nm0000340	Cindy Crawford
nm0000341	Michael Crichton
nm0000342	James Cromwell
nm0000343	David Cronenberg
nm0000344	Denise Crosby
nm0000345	Billy Crystal
nm0000346	Macaulay Culkin
nm0000347	Tim Curry
nm0000348	Tony Curtis
nm0000349	Joan Cusack
nm0000350	Beverly D'Angelo
nm0000352	Vincent D'Onofrio
nm0000353	Willem Dafoe
nm0000354	Matt Damon
nm0000355	Anthony Daniels
nm0000356	Sybil Danning
nm0000357	Lolita Davidovich
nm0000358	Daniel Day-Lewis
nm0000360	Rebecca De Mornay
nm0000361	Brian De Palma
nm0000362	Danny DeVito
nm0000363	Loren Dean
nm0000364	Sandra Dee
nm0000365	Julie Delpy
nm0000366	Catherine Deneuve
nm0000367	Gérard Depardieu
nm0000368	Laura Dern
nm0000369	Matt Dillon
nm0000371	Ami Dolenz
nm0000372	Amanda Donohoe
nm0000373	Michael Dorn
nm0000374	Brad Dourif
nm0000375	Robert Downey Jr.
nm0000376	Fran Drescher
nm0000377	Richard Dreyfuss
nm0000378	Minnie Driver
nm0000379	Kirsten Dunst
nm0000380	Robert Duvall
nm0000381	Anthony Edwards
nm0000382	Atom Egoyan
nm0000383	Jennifer Ehle
nm0000384	Danny Elfman
nm0000385	Sam Elliott
nm0000386	Roland Emmerich
nm0000387	Robert Englund
nm0000388	R. Lee Ermey
nm0000389	Emilio Estevez
nm0000391	Rupert Everett
nm0000392	Morgan Fairchild
nm0000393	Peter Falk
nm0000394	Chris Farley
nm0000395	Terry Farrell
nm0000396	Farrah Fawcett
nm0000397	Corey Feldman
nm0000398	Sally Field
nm0000399	David Fincher
nm0000400	Linda Fiorentino
nm0000401	Laurence Fishburne
nm0000402	Carrie Fisher
nm0000403	Bridget Fonda
nm0000404	Jane Fonda
nm0000405	Michelle Forbes
nm0000407	Vivica A. Fox
nm0000408	Jonathan Frakes
nm0000409	Brendan Fraser
nm0000410	Stephen Fry
nm0000411	Edward Furlong
nm0000412	Andy Garcia
nm0000413	Janeane Garofalo
nm0000414	Teri Garr
nm0000415	Jami Gertz
nm0000416	Terry Gilliam
nm0000417	Crispin Glover
nm0000418	Danny Glover
nm0000419	Jean-Luc Godard
nm0000420	Valeria Golino
nm0000421	Cuba Gooding Jr.
nm0000422	John Goodman
nm0000423	Serena Grandi
nm0000424	Hugh Grant
nm0000425	Peter Greenaway
nm0000426	Jennifer Grey
nm0000427	Pam Grier
nm0000429	Melanie Griffith
nm0000430	Steve Guttenberg
nm0000431	Taylor Hackford
nm0000432	Gene Hackman
nm0000433	Corey Haim
nm0000434	Mark Hamill
nm0000435	Daryl Hannah
nm0000436	Curtis Hanson
nm0000437	Woody Harrelson
nm0000438	Ed Harris
nm0000439	Neil Patrick Harris
nm0000440	Nina Hartley
nm0000441	Noah Hathaway
nm0000442	Rutger Hauer
nm0000443	Goldie Hawn
nm0000444	Glenne Headly
nm0000445	Dan Hedaya
nm0000446	Mariel Hemingway
nm0000447	Marilu Henner
nm0000448	Lance Henriksen
nm0000449	Natasha Henstridge
nm0000450	Philip Seymour Hoffman
nm0000451	Gaby Hoffmann
nm0000452	Lauren Holly
nm0000453	Ian Holm
nm0000454	Dennis Hopper
nm0000455	John Hughes
nm0000456	Holly Hunter
nm0000457	John Hurt
nm0000458	William Hurt
nm0000459	Timothy Hutton
nm0000460	Jeremy Irons
nm0000461	Michael Ironside
nm0000462	Kate Jackson
nm0000463	Famke Janssen
nm0000464	Jim Jarmusch
nm0000465	Ron Jeremy
nm0000466	Jean-Pierre Jeunet
nm0000467	Don Johnson
nm0000468	Lynn-Holly Johnson
nm0000469	James Earl Jones
nm0000470	Jeffrey Jones
nm0000471	Raul Julia
nm0000473	Diane Keaton
nm0000474	Michael Keaton
nm0000475	Patsy Kensit
nm0000476	Sally Kirkland
nm0000477	Mia Kirshner
nm0000478	Tawny Kitaen
nm0000479	Walter Koenig
nm0000480	Elias Koteas
nm0000481	Alice Krige
nm0000482	Sylvia Kristel
nm0000483	Christopher Lambert
nm0000484	John Landis
nm0000486	Heather Langenkamp
nm0000487	Ang Lee
nm0000488	Brandon Lee
nm0000489	Christopher Lee
nm0000490	Spike Lee
nm0000491	John Leguizamo
nm0000492	Jennifer Jason Leigh
nm0000493	Jack Lemmon
nm0000494	Robert Sean Leonard
nm0000495	Téa Leoni
nm0000496	Juliette Lewis
nm0000497	Jennifer Lien
nm0000498	Matthew Lillard
nm0000499	Bai Ling
nm0000500	Richard Linklater
nm0000501	Ray Liotta
nm0000502	Christopher Lloyd
nm0000503	Emily Lloyd
nm0000504	Amy Locane
nm0000505	Nia Long
nm0000506	Julia Louis-Dreyfus
nm0000507	Rob Lowe
nm0000508	Carey Lowell
nm0000510	Andie MacDowell
nm0000511	Shirley MacLaine
nm0000512	Elle Macpherson
nm0000513	William H. Macy
nm0000514	Michael Madsen
nm0000515	Virginia Madsen
nm0000516	Lee Majors
nm0000517	Terrence Malick
nm0000518	John Malkovich
nm0000519	David Mamet
nm0000520	Michael Mann
nm0000521	Sophie Marceau
nm0000523	Julianna Margulies
nm0000524	Mary Stuart Masterson
nm0000525	Heather Matarazzo
nm0000526	Samantha Mathis
nm0000527	Walter Matthau
nm0000528	Mathilda May
nm0000529	Debi Mazar
nm0000530	Andrew McCarthy
nm0000531	Frances McDormand
nm0000532	Malcolm McDowell
nm0000534	Kelly McGillis
nm0000535	Rose McGowan
nm0000537	Steve McQueen
nm0000538	Colm Meaney
nm0000539	Dina Meyer
nm0000540	Russ Meyer
nm0000541	Bette Midler
nm0000542	Penelope Ann Miller
nm0000545	Helen Mirren
nm0000546	Matthew Modine
nm0000547	Alfred Molina
nm0000548	Elizabeth Montgomery
nm0000549	Roger Moore
nm0000550	Kate Mulgrew
nm0000551	Dermot Mulroney
nm0000552	Eddie Murphy
nm0000553	Liam Neeson
nm0000554	Sam Neill
nm0000555	Judd Nelson
nm0000556	Olivia Newton-John
nm0000557	Brigitte Nielsen
nm0000558	Leslie Nielsen
nm0000559	Leonard Nimoy
nm0000560	Nick Nolte
nm0000561	Peter North
nm0000562	Jeremy Northam
nm0000563	Chris O'Donnell
nm0000564	Peter O'Toole
nm0000565	Lena Olin
nm0000566	Julia Ormond
nm0000568	Frank Oz
nm0000569	Gwyneth Paltrow
nm0000570	Alan Parker
nm0000571	Mary-Louise Parker
nm0000572	Sarah Jessica Parker
nm0000573	Dolly Parton
nm0000574	Jason Patric
nm0000575	Alexandra Paul
nm0000576	Sean Penn
nm0000577	George Peppard
nm0000578	Anthony Perkins
nm0000579	Ron Perlman
nm0000580	Luke Perry
nm0000582	Joe Pesci
nm0000583	Wolfgang Petersen
nm0000584	Amanda Peterson
nm0000585	Robert Picardo
nm0000586	Jada Pinkett Smith
nm0000587	Donald Pleasence
nm0000588	Martha Plimpton
nm0000591	Roman Polanski
nm0000592	Pete Postlethwaite
nm0000593	Kelly Preston
nm0000594	Jason Priestley
nm0000595	Victoria Principal
nm0000596	Jonathan Pryce
nm0000597	Bill Pullman
nm0000598	Dennis Quaid
nm0000599	Kathleen Quinlan
nm0000600	Sam Raimi
nm0000601	Harold Ramis
nm0000602	Robert Redford
nm0000603	Vanessa Redgrave
nm0000604	John C. Reilly
nm0000605	Brad Renfro
nm0000606	Jean Reno
nm0000607	Paul Reubens
nm0000608	Burt Reynolds
nm0000609	Ving Rhames
nm0000610	Giovanni Ribisi
nm0000611	Ariana Richards
nm0000612	Denise Richards
nm0000613	Joely Richardson
nm0000614	Alan Rickman
nm0000615	John Ritter
nm0000616	Eric Roberts
nm0000617	Tanya Roberts
nm0000618	Isabella Rossellini
nm0000619	Tim Roth
nm0000620	Mickey Rourke
nm0000621	Kurt Russell
nm0000622	Theresa Russell
nm0000623	Rene Russo
nm0000624	Laura San Giacomo
nm0000625	Fred Savage
nm0000626	John Sayles
nm0000627	Greta Scacchi
nm0000628	Johnathon Schaech
nm0000629	Claudia Schiffer
nm0000630	Liev Schreiber
nm0000631	Ridley Scott
nm0000633	Tom Selleck
nm0000634	Peter Sellers
nm0000635	Yahoo Serious
nm0000637	Tupac Shakur
nm0000638	William Shatner
nm0000639	Ally Sheedy
nm0000640	Martin Sheen
nm0000641	Gary Sinise
nm0000642	Marina Sirtis
nm0000643	Tom Skerritt
nm0000644	Helen Slater
nm0000645	Anna Nicole Smith
nm0000646	Jaclyn Smith
nm0000647	Alan Smithee
nm0000648	Wesley Snipes
nm0000649	Paul Sorvino
nm0000650	Talisa Soto
nm0000651	Sissy Spacek
nm0000652	James Spader
nm0000653	Brent Spiner
nm0000654	Terence Stamp
nm0000655	Eric Stoltz
nm0000656	Madeleine Stowe
nm0000657	David Strathairn
nm0000658	Meryl Streep
nm0000659	Barbra Streisand
nm0000660	Tami Stronach
nm0000661	Donald Sutherland
nm0000662	Kiefer Sutherland
nm0000663	Dominique Swain
nm0000664	Patrick Swayze
nm0000665	D.B. Sweeney
nm0000666	Lili Taylor
nm0000667	David Thewlis
nm0000668	Emma Thompson
nm0000669	Fred Thompson
nm0000670	Lea Thompson
nm0000671	Billy Bob Thornton
nm0000672	Meg Tilly
nm0000673	Marisa Tomei
nm0000674	Tamlyn Tomita
nm0000675	Jeanne Tripplehorn
nm0000676	Chris Tucker
nm0000677	Robin Tunney
nm0000678	Kathleen Turner
nm0000679	Deborah Kara Unger
nm0000680	Casper Van Dien
nm0000681	Vince Vaughn
nm0000682	Paul Verhoeven
nm0000683	Gore Vidal
nm0000685	Jon Voight
nm0000686	Christopher Walken
nm0000687	J.T. Walsh
nm0000688	Sela Ward
nm0000689	Julie Warner
nm0000690	Lesley Ann Warren
nm0000691	John Waters
nm0000692	Teri Weigel
nm0000693	Peter Weller
nm0000694	Wim Wenders
nm0000695	Joanne Whalley
nm0000696	Wil Wheaton
nm0000697	Billy Wilder
nm0000698	Gene Wilder
nm0000699	Michael Wincott
nm0000700	Debra Winger
nm0000701	Kate Winslet
nm0000702	Reese Witherspoon
nm0000703	BD Wong
nm0000704	Elijah Wood
nm0000705	Robin Wright
nm0000706	Michelle Yeoh
nm0000707	Sean Young
nm0000708	Billy Zane
nm0000709	Robert Zemeckis
nm0000710	David Raksin
nm0000713	Joel Oliansky
nm0000714	Willie Aames
nm0000715	Caroline Aaron
nm0000717	Kareem Abdul-Jabbar
nm0000718	Ian Abercrombie
nm0000719	F. Murray Abraham
nm0000720	Jim Abrahams
nm0000721	Victoria Abril
nm0000722	Joss Ackland
nm0000723	Deborah Adair
nm0000724	Brooke Adams
nm0000725	Joey Lauren Adams
nm0000726	Maud Adams
nm0000727	Percy Adlon
nm0000728	Mario Adorf
nm0000729	Casey Affleck
nm0000730	John Agar
nm0000732	Danny Aiello
nm0000733	Anouk Aimée
nm0000734	Eddie Albert
nm0000736	Robert Aldrich
nm0000737	Jane Alexander
nm0000738	Muhammad Ali
nm0000739	Debbie Allen
nm0000740	Irwin Allen
nm0000741	Tim Allen
nm0000742	June Allyson
nm0000743	Néstor Almendros
nm0000744	Maria Conchita Alonso
nm0000745	Carol Alt
nm0000746	Trini Alvarado
nm0000747	Don Ameche
nm0000748	Leon Ames
nm0000749	Mädchen Amick
nm0000750	Jon Amiel
nm0000751	Suzy Amis
nm0000753	Juliet Anderson
nm0000754	Kevin Anderson
nm0000755	Lindsay Anderson
nm0000756	Loni Anderson
nm0000757	Melissa Sue Anderson
nm0000758	Melody Anderson
nm0000759	Paul Thomas Anderson
nm0000761	Bibi Andersson
nm0000762	Anthony Andrews
nm0000763	Dana Andrews
nm0000765	Pier Angeli
nm0000766	Theodoros Angelopoulos
nm0000767	Jean-Hugues Anglade
nm0000768	Francesca Annis
nm0000769	Susan Anspach
nm0000770	David Anspaugh
nm0000771	Lysette Anthony
nm0000772	Susan Anton
nm0000773	Laura Antonelli
nm0000774	Michelangelo Antonioni
nm0000775	Christina Applegate
nm0000776	Michael Apted
nm0000777	Gregg Araki
nm0000778	Alfonso Arau
nm0000780	Denys Arcand
nm0000781	Eve Arden
nm0000782	Asia Argento
nm0000783	Dario Argento
nm0000786	George Armitage
nm0000787	Bess Armstrong
nm0000788	Gillian Armstrong
nm0000789	Desi Arnaz
nm0000791	Jack Arnold
nm0000792	Tom Arnold
nm0000793	Alexis Arquette
nm0000794	Lewis Arquette
nm0000796	Dana Ashbrook
nm0000797	Hal Ashby
nm0000798	Linden Ashby
nm0000799	Ed Asner
nm0000800	Armand Assante
nm0000801	Olivier Assayas
nm0000803	Christopher Atkins
nm0000804	Stéphane Audran
nm0000805	Claudine Auger
nm0000806	Bille August
nm0000808	Paul Auster
nm0000809	Daniel Auteuil
nm0000811	Frankie Avalon
nm0000812	Roger Avary
nm0000814	John G. Avildsen
nm0000815	Mili Avital
nm0000816	Jon Avnet
nm0000817	Lew Ayres
nm0000818	Shabana Azmi
nm0000819	Barbara Bach
nm0000821	Amitabh Bachchan
nm0000822	Jim Backus
nm0000824	John Badham
nm0000826	Jane Badler
nm0000827	Maxine Bahns
nm0000828	Barbara Bain
nm0000829	Stuart Baird
nm0000832	Diane Baker
nm0000833	Joe Don Baker
nm0000834	Kathy Baker
nm0000835	Ralph Bakshi
nm0000836	Scott Bakula
nm0000837	Bob Balaban
nm0000838	Daniel Baldwin
nm0000839	Ina Balin
nm0000841	Michael Ballhaus
nm0000842	Martin Balsam
nm0000843	Anne Bancroft
nm0000844	Tamasaburô Bandô
nm0000846	Ian Bannen
nm0000848	Olivia Barash
nm0000849	Javier Bardem
nm0000850	Clive Barker
nm0000852	Jean-Marc Barr
nm0000853	Bruno Barreto
nm0000855	Raymond J. Barry
nm0000860	Paul Bartel
nm0000862	Robin Bartlett
nm0000863	Billy Barty
nm0000864	Mikhail Baryshnikov
nm0000865	Richard Basehart
nm0000866	Saul Bass
nm0000867	Jason Bateman
nm0000868	Justine Bateman
nm0000869	Alan Bates
nm0000870	Kathy Bates
nm0000871	Randall Batinkoff
nm0000872	Patrick Bauchau
nm0000873	Belinda Bauer
nm0000874	Steven Bauer
nm0000876	Noah Baumbach
nm0000877	Lamberto Bava
nm0000878	Mario Bava
nm0000879	Anne Baxter
nm0000880	Meredith Baxter
nm0000881	Michael Bay
nm0000882	Nathalie Baye
nm0000883	Stephanie Beacham
nm0000884	Jennifer Beals
nm0000885	Ned Beatty
nm0000886	Warren Beatty
nm0000887	Harold Becker
nm0000888	Meret Becker
nm0000889	Bonnie Bedelia
nm0000890	Noah Beery Jr.
nm0000892	Jason Beghe
nm0000893	Ed Begley Jr.
nm0000894	Jean-Jacques Beineix
nm0000896	Harry Belafonte
nm0000897	Ralph Bellamy
nm0000898	Kathleen Beller
nm0000899	Monica Bellucci
nm0000900	Pamela Bellwood
nm0000901	Jean-Paul Belmondo
nm0000902	Jim Belushi
nm0000903	Brian Benben
nm0000905	Roberto Benigni
nm0000906	Annette Bening
nm0000907	Richard Benjamin
nm0000908	David Bennent
nm0000911	Nigel Bennett
nm0000913	Robby Benson
nm0000914	Robert Benton
nm0000915	Bruce Beresford
nm0000916	Peter Berg
nm0000918	Helmut Berger
nm0000919	Senta Berger
nm0000920	Patrick Bergin
nm0000921	Andrew Bergman
nm0000922	Sandahl Bergman
nm0000924	Elizabeth Berkley
nm0000925	Steven Berkoff
nm0000926	Milton Berle
nm0000928	Sandra Bernhard
nm0000929	Corbin Bernsen
nm0000931	Elizabeth Berridge
nm0000932	Halle Berry
nm0000933	Valerie Bertinelli
nm0000934	Bernardo Bertolucci
nm0000935	Bibi Besch
nm0000936	Martine Beswick
nm0000937	Richard Beymer
nm0000940	Bigas Luna
nm0000941	Kathryn Bigelow
nm0000942	Theodore Bikel
nm0000944	Antonia Bird
nm0000945	Jane Birkin
nm0000947	Karen Black
nm0000949	Cate Blanchett
nm0000950	Brenda Blethyn
nm0000951	Joan Blondell
nm0000952	Hart Bochner
nm0000953	Peter Bogdanovich
nm0000954	Jon Bon Jovi
nm0000956	Lisa Bonet
nm0000957	Jan de Bont
nm0000958	John Boorman
nm0000959	Powers Boothe
nm0000960	Barry Bostwick
nm0000961	Timothy Bottoms
nm0000962	Carole Bouquet
nm0000963	Stephen Boyd
nm0000964	Charles Boyer
nm0000965	Danny Boyle
nm0000966	Lorraine Bracco
nm0000968	Sônia Braga
nm0000969	Lillo Brancato
nm0000970	Jonathan Brandis
nm0000971	Nicoletta Braschi
nm0000972	Tinto Brass
nm0000973	Benjamin Bratt
nm0000975	Robert Bresson
nm0000976	Martin Brest
nm0000977	Beau Bridges
nm0000978	Lloyd Bridges
nm0000979	Wilford Brimley
nm0000980	Jim Broadbent
nm0000981	James Brolin
nm0000982	Josh Brolin
nm0000983	Albert Brooks
nm0000984	Avery Brooks
nm0000985	James L. Brooks
nm0000986	Bryan Brown
nm0000987	Jim Brown
nm0000989	Yul Brynner
nm0000990	Betty Buckley
nm0000991	Geneviève Bujold
nm0000993	Carol Burnett
nm0000994	Raymond Burr
nm0000995	Ellen Burstyn
nm0000996	LeVar Burton
nm0000997	Gary Busey
nm0000998	Jake Busey
nm0000999	Red Buttons
nm0001000	Tom Byron
nm0001001	James Caan
nm0001002	Dean Cain
nm0001003	Simon Callow
nm0001004	Billy Campbell
nm0001005	Jane Campion
nm0001006	John Candy
nm0001007	Dyan Cannon
nm0001009	Kate Capshaw
nm0001010	Capucine
nm0001011	Irene Cara
nm0001012	Claudia Cardinale
nm0001013	Harry Carey Jr.
nm0001015	Robert Carlyle
nm0001016	David Carradine
nm0001017	John Carradine
nm0001018	Keith Carradine
nm0001019	Robert Carradine
nm0001020	Katrin Cartlidge
nm0001021	Veronica Cartwright
nm0001022	Dana Carvey
nm0001023	John Cassavetes
nm0001024	Nick Cassavetes
nm0001025	Seymour Cassel
nm0001026	Joanna Cassidy
nm0001028	Maxwell Caulfield
nm0001029	Jim Caviezel
nm0001030	John Cazale
nm0001031	Claude Chabrol
nm0001032	Marilyn Chambers
nm0001034	Rosalind Chao
nm0001035	Ben Chaplin
nm0001036	Geraldine Chaplin
nm0001037	Graham Chapman
nm0001038	Josh Charles
nm0001040	Joan Chen
nm0001041	Maggie Cheung
nm0001042	Lois Chiles
nm0001043	Anna Chlumsky
nm0001044	Rae Dawn Chong
nm0001045	Tommy Chong
nm0001046	Julie Christie
nm0001047	Michael Cimino
nm0001048	Andrew Dice Clay
nm0001049	Jill Clayburgh
nm0001053	Ethan Coen
nm0001054	Joel Coen
nm0001056	Dabney Coleman
nm0001057	Toni Collette
nm0001058	Joan Collins
nm0001059	Robbie Coltrane
nm0001060	Chris Columbus
nm0001061	Holly Marie Combs
nm0001062	Jeffrey Combs
nm0001063	Jeff Conaway
nm0001064	Jason Connery
nm0001065	Harry Connick Jr.
nm0001066	Robert Conrad
nm0001068	Sofia Coppola
nm0001069	Bud Cort
nm0001070	Bill Cosby
nm0001072	Joseph Cotten
nm0001073	Courteney Cox
nm0001074	Ronny Cox
nm0001075	Peter Coyote
nm0001077	Richard Crenna
nm0001079	Scatman Crothers
nm0001080	Lindsay Crouse
nm0001081	Cameron Crowe
nm0001082	Billy Crudup
nm0001083	Jon Cryer
nm0001084	Ice Cube
nm0001085	Kieran Culkin
nm0001086	Alan Cumming
nm0001087	Lee Curreri
nm0001088	Peter Cushing
nm0001089	Henry Czerny
nm0001090	Joe D'Amato
nm0001091	Patti D'Arbanville
nm0001092	Mark Dacascos
nm0001093	John Dahl
nm0001095	Béatrice Dalle
